movie_title,genre,release_date,director,box_office_revenue,rating,duration_minutes,production_company,quote
"Wszystko, co kocham",Horror,12/20/1944,Neda Chetter,$40191063.43,1.3,204,Trilith,Public-key fault-tolerant monitoring
History of the World: Part I,Horror,5/2/1938,Damara Dyter,$29443998.21,4.8,66,Babbleblab,Multi-channelled fault-tolerant interface
While You Were Sleeping,Drama,10/7/2014,Sheila-kathryn Teresse,$80512681.91,2.1,158,Meevee,Devolved scalable standardization
Steal a Pencil for Me,Drama,1/31/1981,Adriane Matveiko,$30166204.35,9.0,159,Yata,Assimilated high-level circuit
"Son of the Sheik, The",Horror,2/15/1929,Marlee Allinson,$62162475.85,0.3,209,Yodel,Compatible demand-driven access
Fellini's Roma (Roma),Drama,10/10/1949,Giana Josilevich,$24689594.49,6.4,90,Buzzshare,Visionary bi-directional paradigm
King Kong vs. Godzilla (Kingukongu tai Gojira),Drama,8/2/1967,Jenna Aikin,$91029890.48,1.9,79,Yozio,Down-sized clear-thinking interface
Wish You Were Here,Drama,2/16/1985,Cassandra Popland,$49216695.09,5.2,203,Voomm,Balanced didactic product
Ocean's Eleven (a.k.a. Ocean's 11),Action,11/20/1970,Mae Buick,$6651670.60,1.4,225,Voonder,Inverse clear-thinking contingency
"Party, The",Action,9/9/1961,Collete Shipperbottom,$1989829.80,3.0,128,Devshare,Up-sized next generation solution
Lost & Found,Action,1/20/2007,Marena Ebhardt,$28625051.62,7.4,68,Topiclounge,Persistent multi-tasking definition
"That's Entertainment, Part II",Drama,9/23/1903,Marmaduke O'Collopy,$10259461.15,1.8,100,Topicblab,Optimized object-oriented utilisation
"Alamo, The",Comedy,6/30/1905,Catherin Clapton,$59734942.57,7.8,158,Realpoint,Re-contextualized multi-state analyzer
"13 Frightened Girls! (Candy Web, The)",Horror,11/13/1992,Karlik Jeannaud,$5119393.87,3.0,135,Jabbertype,Pre-emptive tangible model
"Lottery, The",Horror,5/16/1926,Iago Phifer,$29828514.98,6.0,138,Meemm,Balanced background contingency
Princess Aurora (Orora gongju),Romance,5/17/1946,Jamal Bubbings,$96010.45,6.4,194,Babbleblab,User-friendly system-worthy function
Naughty Marietta,Horror,12/14/2002,Mile Newport,$77346229.22,4.6,232,Shuffledrive,Proactive grid-enabled productivity
Stop Making Sense,Drama,8/15/1922,Aurea Lafont,$54168267.76,4.7,221,Trunyx,Monitored zero defect concept
Flight,Drama,5/13/1968,Ardys Huitt,$65346772.62,3.8,179,Topicshots,Synergistic 3rd generation focus group
Perfume,Horror,3/26/1958,Mill Scholefield,$46624434.22,5.4,213,Riffwire,Stand-alone stable focus group
Power (Jew Süss),Horror,7/16/1952,Cahra Eastbrook,$9454272.72,9.1,114,Demivee,Vision-oriented 24/7 paradigm
At War with the Army,Comedy,6/10/1908,Jessy Sacchetti,$49480096.96,0.3,108,Flashspan,Synergized 5th generation artificial intelligence
Nantucket Film Festival's Comedy Roundtable,Action,8/5/1969,Cristy Aylmer,$97558518.87,4.8,84,Avaveo,Monitored fault-tolerant definition
Sinbad: Legend of the Seven Seas,Drama,3/11/2009,Steve Eland,$21863971.36,3.8,201,DabZ,Optional fresh-thinking initiative
Love Sick Love,Horror,4/11/1922,Thebault Mattheus,$54545935.73,9.6,179,Jayo,Intuitive fresh-thinking adapter
Wizards,Horror,6/18/1948,Jewelle Willbraham,$60479354.94,9.1,223,Twiyo,Cloned 4th generation protocol
Battlestar Galactica: Razor,Action,12/7/1964,Darcee Causley,$52787365.35,7.7,195,Ntags,Customizable scalable array
Riley Rewind,Drama,12/18/2002,Karly Luna,$66398354.90,4.9,86,Dabshots,Object-based client-driven task-force
Guys and Dolls,Comedy,1/10/1916,Adan Dawbery,$37142337.05,5.4,149,Dazzlesphere,Polarised zero administration toolset
Gracie's Choice,Comedy,7/30/1968,Jonathon Belin,$4952086.98,2.4,166,Jetwire,Reactive asynchronous encoding
Madison,Drama,1/12/1933,Mikey Anersen,$35074461.62,0.5,216,Jamia,Virtual even-keeled methodology
La Putain du roi,Drama,1/9/1979,Paulie Foran,$85243301.42,4.0,151,Ainyx,Expanded 5th generation budgetary management
Table 7,Romance,2/8/1905,Nonnah Arent,$51825463.86,4.9,104,Twinte,Focused 24 hour frame
FairyTale: A True Story,Drama,10/24/2010,Diena Brockelsby,$1318056.79,0.3,225,Fiveclub,Optimized zero tolerance complexity
"Task, The",Drama,3/22/1948,Pren Thew,$96748776.83,0.0,156,Twitternation,Self-enabling intangible forecast
"Crimson Wing: Mystery of the Flamingos, The",Romance,2/16/1922,Maudie Matushevich,$72610321.82,8.4,94,Kazu,Advanced directional collaboration
Under Suspicion,Action,12/13/1986,Mechelle Rosier,$71153663.57,3.8,240,Youspan,Team-oriented bottom-line moderator
Rush: Beyond the Lighted Stage,Horror,9/4/1903,Alfy MacLeod,$29261374.52,7.1,209,Podcat,Organized grid-enabled analyzer
Company,Drama,8/6/1978,Inge Bertenshaw,$96451882.54,0.1,196,Gigazoom,Ergonomic even-keeled capacity
Heaven Can Wait,Action,4/21/1962,Peg Gemelli,$48105336.38,5.7,231,Edgewire,Fully-configurable fault-tolerant task-force
Twelve O'Clock High,Comedy,10/3/1996,Kathryn Ell,$87534489.34,6.9,184,Edgepulse,Proactive composite firmware
Eight Days a Week,Romance,4/15/1945,Christoforo Pocknell,$35928569.58,8.3,145,Fivespan,Persistent contextually-based Graphical User Interface
"Five Pennies, The",Drama,3/12/1999,Jeffry Habard,$21415732.31,2.8,236,Realbridge,Synchronised explicit emulation
My Girlfriend's Boyfriend,Romance,11/2/1907,Dennison Shemmans,$34836231.65,9.4,143,Jabbertype,Programmable mission-critical encryption
Renaissance,Romance,5/14/1953,Albrecht Falks,$41212804.31,7.6,82,Skinder,Versatile systemic neural-net
"Proud and the Beautiful, The (Orgueilleux, Les) (Proud Ones, The)",Comedy,10/17/1938,Riley Snare,$99898366.72,6.3,114,Zoombeat,Multi-lateral local data-warehouse
Hider in the House,Romance,5/26/2014,Keen Starrs,$88039978.62,4.3,234,Demivee,Synergistic upward-trending emulation
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti)",Romance,8/6/1990,Ad Elia,$57732267.95,2.9,211,Kwimbee,Phased content-based hierarchy
Avanti!,Romance,3/22/2006,Goddart Mateuszczyk,$88519515.25,8.7,138,Kazu,Multi-lateral fresh-thinking application
"Lord of the Rings: The Two Towers, The",Romance,2/20/1928,Jae Judkin,$71890210.41,9.1,220,Zoomcast,Devolved incremental adapter
Far Cry,Horror,8/22/2010,Had Pietrzak,$13078792.92,6.6,91,Gevee,Networked bandwidth-monitored implementation
McConkey,Comedy,2/7/1902,Brander Coils,$54117087.29,2.9,212,Eayo,Multi-layered optimizing project
Landet som icke är,Romance,9/6/1984,Elden Brant,$67888224.79,3.8,100,Oba,Programmable global encryption
The New Babylon,Romance,2/4/2022,Astra Tole,$53277389.20,3.7,200,Izio,Secured solution-oriented budgetary management
"Hand That Rocks the Cradle, The",Drama,4/11/1972,Alphonso Teggart,$46336045.30,8.6,187,Photobug,Self-enabling 4th generation function
Barry Lyndon,Drama,5/22/1990,Jenda Wardesworth,$19724869.31,2.1,166,Devpulse,Face to face 24/7 collaboration
Beauty and the Boss,Horror,2/19/1957,Hatti Chartman,$82238670.36,8.0,233,Twimbo,Face to face multi-state budgetary management
Ethel,Comedy,5/17/2018,Homerus Birchwood,$32286536.52,5.9,74,Rhybox,Reduced global service-desk
Prince Valiant,Action,1/8/2001,Rozanne Danilin,$36290987.07,1.3,96,Tagpad,Multi-layered holistic array
"Cove, The",Romance,10/22/1976,Lorena Eyer,$94658344.27,0.4,83,Myworks,Profound content-based definition
Point and Shoot,Drama,6/2/2010,Ciro Hancell,$69182525.20,5.4,229,Lazz,Decentralized homogeneous knowledge user
7th Floor,Romance,5/27/1957,Charmine Marini,$59691005.67,5.3,115,Dynabox,Public-key upward-trending time-frame
"Late Shift, The",Romance,10/20/1935,Gill Benneyworth,$41053616.92,2.6,122,Fanoodle,Function-based neutral system engine
The Tunnel of Love,Comedy,12/1/1972,Rossie Standeven,$46040319.07,0.4,127,Twitterbridge,Expanded value-added migration
"Fighting Prince of Donegal, The",Comedy,8/16/1909,Man Youens,$26343616.67,9.3,219,Twitterlist,Profound systemic groupware
Ida,Comedy,9/13/1918,Melany Burree,$46971546.91,4.4,199,Skalith,Monitored grid-enabled implementation
Leprechaun 4: In Space,Romance,10/28/1967,Rudyard Bowton,$17985255.30,7.1,124,Ailane,Face to face didactic customer loyalty
National Security,Comedy,3/25/2010,Hobey Kann,$58311875.14,3.4,181,Lazz,Switchable next generation throughput
Big Fat Liar,Drama,6/3/1938,Reynard Gun,$94124623.95,0.3,188,Fliptune,Multi-layered static matrices
"Way We Laughed, The (Così Ridevano)",Comedy,3/22/2022,Fanni Feakins,$65786055.96,6.3,66,Browsezoom,Object-based tertiary knowledge user
Session 9,Comedy,5/8/1925,Toby Branigan,$6278591.73,2.6,161,Talane,Horizontal empowering moderator
"Avenging Conscience, The",Drama,1/25/1929,Karolina Kordovani,$88586057.29,2.0,169,Tagfeed,Down-sized 6th generation matrix
Reclaim,Drama,4/15/1918,Lind Durnan,$90686143.62,8.1,131,Wikivu,Up-sized foreground hierarchy
It Had to Be You,Comedy,4/21/1971,Trumaine Skittrell,$94457670.50,3.9,138,Gabvine,Quality-focused contextually-based Graphic Interface
"Road to Hong Kong, The",Action,5/27/2009,Sigrid Burlingham,$96172671.79,3.7,177,Photofeed,Fundamental responsive info-mediaries
Crocodile Dundee II,Action,10/24/1957,Bridgette Patria,$20986021.13,9.0,93,Linkbridge,Right-sized intermediate adapter
Quick Change,Drama,11/1/1977,Jolee Faccini,$38960804.63,6.4,147,Livefish,Re-engineered regional projection
Secuestro Express,Horror,11/2/1902,Tania Waltho,$96325940.90,3.9,215,Vitz,Polarised next generation application
Shenandoah,Drama,11/4/1979,Doll Balding,$49634444.86,7.7,153,Gabtune,Stand-alone dynamic hub
Teen Spirit,Drama,12/9/1993,Nil Bottinelli,$66180137.54,5.6,74,Jaxspan,Profound 24 hour moderator
Numbskull Emptybrook in the Army (Uuno Turhapuro armeijan leivissä),Horror,5/12/1967,Stesha Inglesant,$33629323.55,3.4,77,Jabbersphere,Re-engineered mobile parallelism
Lady in White (a.k.a. The Mystery of the Lady in White),Horror,4/25/1957,Meggie Febre,$30989178.89,3.0,226,Babbleblab,Synergized context-sensitive definition
The Noble Family,Drama,9/28/1912,Nevins Paffot,$3702875.49,5.8,137,Topdrive,Proactive holistic database
Krush Groove,Romance,2/17/1992,Daisey Getty,$94167721.35,1.4,183,Babbleset,Inverse global contingency
Fantomas,Romance,5/1/2015,Cristi MacSween,$3282232.51,4.6,98,Kare,Cross-platform composite internet solution
"Story of Xinghua, The (Xinghua san yue tian)",Action,1/9/2012,Lissy Marques,$99569862.86,7.9,155,Digitube,Ameliorated bottom-line secured line
"Trip to Italy, The",Comedy,4/18/1943,Gilles Dyzart,$7715684.31,8.6,62,Feedmix,Operative regional leverage
Ironweed,Romance,9/24/1996,Patricia Amesbury,$35357671.18,0.0,194,Nlounge,Object-based bi-directional success
"Dangerous Method, A",Horror,7/9/1900,Caryn de Courcy,$91332840.36,7.3,154,Skajo,Face to face analyzing neural-net
"Wolverine, The",Comedy,3/16/1987,Gaston Dorsey,$53911139.45,9.1,100,Zooxo,Reactive asynchronous task-force
Delta,Horror,11/29/1998,Veronike Silmon,$29874186.72,3.0,78,Plambee,Exclusive dedicated productivity
Brown's Requiem,Romance,4/6/1901,Guillermo Bevir,$97548971.95,4.3,219,Yoveo,Re-contextualized disintermediate array
Relax... It's Just Sex,Comedy,1/4/1965,Tadio Craigmyle,$37969480.38,4.0,85,Brainlounge,Universal tangible moratorium
"Fast Runner, The (Atanarjuat)",Romance,8/16/1982,Drugi Gledhall,$56570702.55,0.4,158,Lazz,Persevering dedicated time-frame
Disorder,Drama,3/5/1939,Jimmy Fforde,$28831249.71,8.1,218,Devshare,Operative zero administration monitoring
"Treasure Hunter, The (Ci ling)",Drama,8/13/2015,Benoit Filde,$85259675.90,2.8,109,Youbridge,Synergized global challenge
Underworld: Rise of the Lycans,Comedy,9/21/1922,Web Deschelle,$88957199.99,8.3,154,Meeveo,Realigned exuding algorithm
Eat a Bowl of Tea,Comedy,10/31/1952,Ollie Howerd,$45063228.39,9.3,67,Centizu,Expanded impactful model
Real Life,Comedy,4/15/1929,Ryun Meysham,$25763331.93,7.0,68,Vinder,Re-engineered exuding toolset
Three O'Clock High,Horror,6/23/1997,Tammi Spearman,$95101264.43,0.9,220,Layo,Visionary executive benchmark
8MM,Action,2/10/1927,Natassia Siaspinski,$20693792.31,1.0,146,Jaloo,Business-focused interactive focus group
"Damned United, The",Action,2/10/1992,Skipper Prahm,$16007425.64,9.6,228,Wikizz,Sharable secondary hierarchy
Brothers on the Line,Drama,8/12/2014,Wernher Haynes,$34028996.83,4.5,88,Flipopia,Configurable multi-tasking conglomeration
"Leading Man, The",Drama,8/20/1939,Benjy Soulsby,$58599350.36,5.4,229,Lajo,Ameliorated zero tolerance benchmark
"Second Jungle Book: Mowgli & Baloo, The",Romance,7/5/1942,Filberto Yepiskov,$53620059.63,1.4,226,Skynoodle,Re-engineered modular parallelism
"East, West, East: The Final Sprint",Action,11/9/2010,Perle Cristofanini,$20051008.66,0.9,106,Devpoint,Configurable content-based protocol
Friends with Benefits,Comedy,10/25/2018,Marci Tomashov,$49067809.41,3.7,207,Omba,Automated upward-trending methodology
Pulling Strings,Romance,8/27/2008,Mamie Wayland,$74941368.10,3.8,62,Kwideo,Enhanced discrete frame
Forever Amber,Action,9/22/1915,Hetty Tideswell,$15664149.60,1.5,204,Oloo,Function-based demand-driven artificial intelligence
Clean Slate,Drama,6/30/1920,Thoma Snelman,$24514390.33,8.3,157,Blogpad,Upgradable radical solution
"Patsy, The",Action,5/23/2022,Filmore Shimoni,$52241708.10,6.9,204,Thoughtworks,Enterprise-wide homogeneous conglomeration
Broadway Serenade,Romance,6/4/1942,Arlen Anten,$17606323.29,0.7,109,Katz,Multi-layered intermediate moderator
Blue State,Action,3/28/1992,Jdavie Mowen,$75870565.48,7.1,172,Mynte,Enterprise-wide leading edge product
Shadowlands,Drama,11/6/1958,Ferrell Vost,$28857378.72,0.5,197,Thoughtstorm,Expanded mobile matrix
Caddyshack,Action,11/20/1998,Ladonna Jacks,$30020746.15,2.7,74,Meezzy,Profound full-range info-mediaries
Bogus,Drama,1/10/1907,Brittan Dietmar,$61979088.29,9.8,112,Jabbercube,Streamlined intangible middleware
Cropsey,Horror,1/29/1991,Rollo Maltby,$57871913.76,3.9,239,Skimia,Cloned radical complexity
Paranormal Activity 4,Action,11/21/2022,Lorine Wainman,$49969967.24,0.6,198,Bluejam,Stand-alone 4th generation software
Bella,Comedy,9/26/1952,Gregor Lehrle,$11338493.19,7.1,64,Youfeed,Mandatory optimal matrix
Jesse Stone: Night Passage,Action,8/15/2006,Ola Basley,$28473892.57,7.0,132,Devpulse,Secured 3rd generation hierarchy
"Toughest Man in the World, The",Drama,5/16/1937,Hodge Budget,$55827626.67,0.5,185,Divape,Cross-platform interactive implementation
Big Bad Mama II,Action,5/16/1962,Raffaello Dunstall,$56553878.49,9.3,196,Babblestorm,Customizable solution-oriented function
Anna Madelina (Ngon na ma dak lin na),Comedy,10/25/1967,Hadrian Giannazzo,$65487407.72,0.2,212,Topiczoom,Ergonomic client-driven migration
I Am Love (Io sono l'amore),Action,8/14/1986,Elicia Lebbon,$3439673.66,4.4,175,Skibox,Ergonomic maximized focus group
Boom!,Romance,2/8/1947,Saunder Truluck,$40200741.85,8.8,175,Rhycero,Switchable cohesive migration
Super Demetrios,Romance,2/10/1912,Cad MacConnechie,$8498629.84,5.0,99,Dabjam,Implemented 3rd generation open system
"Call, The",Horror,10/20/1925,Amalita Heskins,$7689239.75,3.1,169,Dablist,Distributed coherent implementation
Craig Ferguson: Does This Need to Be Said?,Horror,6/30/1951,Alyce Stronach,$38358136.98,7.1,69,Kwimbee,Enhanced methodical definition
Beneath the Rooftops of Paris (Sous les toits de Paris),Romance,6/4/2022,Cameron Reubel,$6672969.63,6.1,115,Oyoba,Profound 4th generation groupware
Pleasure at Her Majesty's,Comedy,2/16/1919,Barnaby Clist,$84890955.59,6.2,168,Photobug,Customer-focused stable extranet
The Raid: Redemption,Action,4/6/1973,Maritsa Kropach,$43888550.52,8.5,142,Rhycero,Vision-oriented modular infrastructure
"Hills Have Eyes II, The",Romance,7/12/1973,Merridie Gulliver,$10290701.38,9.1,118,Wikivu,Fully-configurable fault-tolerant capacity
Walk on the Wild Side,Drama,9/13/1959,Myrtie Valance,$94614496.04,3.6,64,Fliptune,Automated responsive project
Creature from Black Lake ,Horror,11/8/1956,Bridie Reay,$21011983.96,9.7,166,Shufflebeat,Secured contextually-based matrix
Three Wise Fools,Romance,2/22/1924,Wendi McCarney,$67551275.42,7.0,108,Eazzy,Up-sized client-server array
The Gamma People,Drama,3/18/1935,Cinnamon Pisculli,$89252116.13,6.6,208,Flipstorm,Operative bottom-line emulation
Meltdown: Days of Destruction,Horror,7/27/1950,Rik Beddin,$79321030.15,2.0,113,Meevee,Integrated well-modulated protocol
"Sense of History, A",Horror,6/5/2015,Doy Paz,$38619460.66,5.8,234,Eidel,Cross-group global moratorium
"Orphanage, The (Orfanato, El)",Action,7/15/1905,Gardie Crop,$19431212.96,4.7,100,Shufflebeat,Advanced interactive projection
"Book of Life, The",Action,8/12/1916,Matthiew Tow,$77418111.38,6.3,202,Voomm,Persistent asynchronous monitoring
Mea Maxima Culpa: Silence in the House of God,Action,3/22/1996,Ricca Oakland,$21621743.24,0.1,97,Devpoint,Reactive 6th generation attitude
"Contract, The",Action,6/15/1975,Kerr Bromage,$81485195.45,2.9,77,Quire,Balanced even-keeled extranet
Alamo Bay,Action,11/23/1979,Harrietta McMenemy,$45946303.60,5.4,128,Wikivu,Sharable well-modulated array
Eros Plus Massacre (Erosu purasu Gyakusatsu),Drama,2/25/1978,Beitris Gryglewski,$89606537.76,6.9,179,Edgepulse,Devolved zero tolerance orchestration
Double Whammy,Drama,1/9/1963,Kermit McIlriach,$77503313.70,6.7,237,Jabbersphere,Devolved interactive solution
My Bodyguard,Comedy,8/23/1900,Milicent Fowden,$68108807.80,1.4,148,Vidoo,Optimized object-oriented product
Kaleidoscope,Drama,12/25/1937,Kennett Jewess,$49667688.08,3.7,151,Trudoo,Managed client-server definition
"Dark Side of the Heart, The (Lado oscuro del corazón, El)",Action,7/13/1977,Annecorinne Cranshaw,$21315026.96,7.7,70,Shufflester,Face to face maximized service-desk
Joint Security Area (Gongdong gyeongbi guyeok JSA),Action,6/3/1911,Boothe Martinek,$79335018.80,1.0,223,Jaxspan,Sharable uniform Graphical User Interface
The Woman on Pier 13,Comedy,9/16/2004,Darryl McGilvra,$99228461.82,1.7,229,Rooxo,Horizontal radical collaboration
Inequality for All,Drama,3/13/1994,Alon Febre,$44840298.16,2.5,197,Gabspot,Streamlined directional protocol
"Marine Story, A",Comedy,10/14/1952,Marlane Moorwood,$41751960.33,1.6,89,Kayveo,Implemented multi-state focus group
"Boys, The (Pojat)",Horror,7/6/2006,Donni Hargreves,$47209335.82,7.8,220,Zoomcast,Versatile grid-enabled hardware
Hush,Drama,10/7/1980,Elicia Schankelborg,$51120720.95,7.1,163,Jabbercube,Organic mission-critical implementation
Scrooged,Horror,12/23/1938,Laurella Muscat,$24309651.46,1.5,115,Youopia,Synergized 3rd generation open system
Hamlet,Comedy,7/28/1983,Gran McVittie,$88972631.67,1.2,174,Skinder,Organic directional model
Out of Nature,Romance,4/2/1963,Dianne Gallaccio,$84653016.77,2.5,135,Kwilith,Face to face transitional ability
Legend No. 17,Action,5/19/2011,Mavra McGaugey,$76869527.02,7.7,107,Skimia,Multi-channelled zero administration matrix
Rocket Singh: Salesman of the Year,Comedy,12/7/1959,Benedicta McDowell,$32601012.25,6.8,222,Innojam,Operative human-resource array
"Surgeon, The",Drama,6/9/1955,Calla Cliss,$59363238.67,7.4,88,Oloo,Quality-focused disintermediate customer loyalty
I Really Hate My Job,Drama,7/30/2016,Merola Cammacke,$63067285.13,8.8,152,Devify,Integrated optimal support
"Last Season, The",Horror,3/22/1903,Sophie Paddefield,$13595957.71,5.0,166,Jetpulse,Upgradable bi-directional matrix
Crackerjack,Comedy,10/2/1994,Cchaddie Gurery,$77017074.95,9.6,86,Livepath,De-engineered 4th generation time-frame
"Secret Life of Zoey, The",Comedy,11/10/1989,Lucinda Swede,$15595160.70,8.5,149,Innotype,Cross-platform bottom-line projection
Charly,Action,7/2/1992,Israel Bertelet,$76622369.98,8.6,147,Meedoo,Multi-lateral directional hierarchy
"Ferryman, The",Drama,10/22/2008,Milly Gaffon,$65314132.21,3.2,72,Realcube,Up-sized web-enabled pricing structure
Running Scared,Action,5/23/1983,Saraann Puzey,$59868940.48,4.2,160,Yozio,Fundamental composite website
"Man Who Knew Too Much, The",Action,3/24/1988,Richart Ackery,$78360964.13,1.6,222,Babblestorm,Cross-platform discrete capacity
Letters to God,Drama,10/5/2018,Eulalie Hubane,$32296036.69,3.3,134,Linkbuzz,Public-key well-modulated pricing structure
Holes,Comedy,10/26/2002,Linell McGhee,$16225197.98,0.3,170,Jabberbean,Open-architected system-worthy flexibility
From the Clouds to the Resistance (Dalla nube alla resistenza),Drama,1/20/1952,Alayne Whicher,$71544074.81,3.0,128,Devshare,Enterprise-wide coherent analyzer
Chilly Scenes of Winter (Head Over Heels),Comedy,11/8/1966,Gary Wolfe,$25015629.99,1.3,207,Feedbug,Open-source client-driven concept
Queen Kelly,Romance,9/23/1994,Lilah De Vaan,$47841369.69,6.9,102,Photolist,Mandatory intangible solution
"Millionaire for Christy, A (Golden Goose) (No Room for the Groom)",Horror,12/5/1900,Joelie Daunter,$96031357.68,6.9,202,Jaxnation,Integrated encompassing circuit
"Blueprint for Murder, A",Action,10/28/1963,Fred Reace,$18407869.13,2.8,98,Vimbo,Secured client-driven collaboration
"Puerta de Hierro, el exilio de Perón",Romance,12/6/2019,Selena Jackson,$68198995.03,0.3,79,Voonte,Right-sized coherent analyzer
"Billy Two Hats (Lady and the Outlaw, The)",Comedy,11/13/1901,Farlay Garnsworthy,$58354642.13,9.0,65,Twitterbeat,Stand-alone exuding contingency
"Thing Called Love, The",Romance,8/24/1949,Eduard Rioch,$54349010.52,0.4,211,Riffwire,Open-source background structure
Cyborg,Drama,9/3/1999,Emmett Binstead,$23372816.10,1.5,175,Brightbean,User-centric hybrid help-desk
Stingray Sam,Romance,8/24/1912,Clemens Fawdry,$55693881.96,6.5,239,Pixonyx,Centralized client-server architecture
"Gods Must Be Crazy, The",Drama,6/1/1968,Roda Pickersgill,$49180753.43,9.2,222,Photobean,Streamlined interactive benchmark
21-87,Romance,3/4/2013,Jamal Heino,$36559728.58,3.5,70,Oyoba,Re-engineered bi-directional middleware
"Summer by the River, A (Kuningasjätkä)",Romance,10/27/1927,Aileen Du Fray,$32175517.34,7.5,114,Eadel,Grass-roots local instruction set
8MM 2,Horror,7/26/1904,Eldon Lesslie,$46016666.03,8.8,134,Tagpad,Balanced non-volatile initiative
After the Fox (Caccia alla volpe),Comedy,3/2/1940,Virginia Skeat,$95163635.10,7.0,194,Demimbu,Object-based discrete analyzer
Skin,Romance,2/15/1968,Barbee McRuvie,$87750888.01,4.6,187,Rhyzio,Future-proofed scalable leverage
Experiment Perilous,Comedy,10/30/2014,Guido Puleston,$39395828.79,1.5,202,Aimbo,Secured uniform application
Fighter in the Wind,Comedy,1/18/1928,Alfonse Morteo,$24693899.18,4.4,124,Youspan,Re-contextualized static standardization
Four Horsemen,Comedy,5/25/1990,Hazel Guillford,$99912649.16,6.0,67,Jaxspan,Synergized leading edge monitoring
"Fugitive, The",Drama,4/26/1971,Kermit Andreu,$56049387.20,3.9,116,Photobean,Enhanced 5th generation product
"Visit, The",Horror,2/13/1948,Adda Bolt,$59883920.89,8.0,128,Camimbo,Exclusive disintermediate throughput
"Silence of the Lambs, The",Romance,12/14/2011,Cate Greensmith,$53695229.13,5.9,151,Meevee,Triple-buffered analyzing approach
"Church, The (Chiesa, La)",Horror,1/20/1995,Robers Brownsill,$61903649.13,1.4,205,Chatterbridge,Public-key needs-based functionalities
Hearts of Darkness: A Filmmakers Apocalypse,Romance,1/14/1970,Ramona Cridlan,$18192331.11,6.0,175,Edgeify,Business-focused tangible hardware
"Speed Of Thought, The",Horror,8/16/1984,Selma Shepcutt,$91591737.71,5.1,176,Blogpad,Down-sized bifurcated solution
"Lesser Blessed, The",Horror,3/15/1969,Lemmie Credland,$96066151.76,9.1,112,Divape,Business-focused actuating complexity
Ticket To Romance (En enkelt til Korsør),Romance,9/16/1951,Bibbye Shropshire,$68819042.21,1.0,79,Yamia,Pre-emptive dynamic hardware
Fat Girl (À ma soeur!),Romance,7/19/1904,Roby Lillyman,$1524212.58,3.2,99,Yakitri,Grass-roots bottom-line approach
Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud),Action,1/13/1909,Godard Antonik,$24126219.49,4.8,65,Roodel,Business-focused contextually-based portal
"Dance Party, USA",Drama,5/3/1931,Marten Robertet,$91950835.62,2.2,131,Dabvine,Reduced object-oriented superstructure
Young Guns,Romance,6/12/1934,Morie Gawen,$2283628.68,9.8,178,Edgetag,Programmable radical data-warehouse
Invasion of the Body Snatchers,Romance,11/27/2022,Marissa Scotts,$25372516.59,6.5,163,Twinte,Cross-group motivating policy
American Virgin,Drama,9/12/1937,Johnette Scopham,$92038040.49,1.1,78,Brainlounge,Horizontal fault-tolerant infrastructure
"Big White, The",Drama,9/4/1977,Roobbie Saker,$85526770.09,3.0,173,Mycat,Multi-tiered even-keeled encoding
Angel Heart,Action,1/15/1950,Ashbey Barnett,$4946448.36,9.1,161,Gigazoom,Up-sized radical moratorium
Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da),Horror,7/5/2002,Sib Aicken,$99146501.14,4.0,129,Innojam,Secured methodical policy
"Trials of Muhammad Ali, The",Drama,9/29/1991,Breanne Hadlington,$69303488.94,1.9,209,Yakitri,Customizable responsive moratorium
Mr. Moto in Danger Island,Romance,5/18/1965,Perla Guiver,$93652694.40,5.0,72,Fivechat,Decentralized 6th generation solution
Die Weihnachtsklempner,Romance,7/28/1908,Jaymee Swinburn,$66070312.89,8.3,101,Latz,Pre-emptive mission-critical budgetary management
Winged Creatures (Fragments),Comedy,10/15/1917,Kathi Reddington,$87993496.60,8.7,79,BlogXS,Persevering solution-oriented benchmark
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Romance,7/2/2009,Brewer Wilbud,$27553691.56,8.7,155,Jabbercube,Distributed attitude-oriented moderator
Leontine,Comedy,8/22/1976,Yevette Derrington,$12424943.03,4.5,65,Midel,Down-sized global middleware
Pigs and Battleships (Hogs and Warships) (The Flesh Is Hot) (Buta to gunkan),Horror,6/20/1939,Kary Tupman,$82191588.33,1.8,106,Oyoba,Sharable fresh-thinking framework
Hamlet,Romance,10/11/1945,Alfy Tettersell,$8113313.76,9.6,67,Dabjam,Universal didactic artificial intelligence
The End,Comedy,4/7/1900,Markus Fost,$34677537.90,3.1,79,Riffpedia,Seamless scalable alliance
Secret Window,Drama,9/6/1994,Kylie Tribe,$62088480.03,6.4,100,Dabjam,Face to face hybrid contingency
"Vanishing, The",Action,7/29/1996,Waring Whibley,$87176395.59,9.1,220,Kazu,Exclusive holistic framework
"Big House, The",Comedy,5/24/1916,Korry Hearons,$8941790.22,4.4,80,Skivee,Exclusive contextually-based collaboration
"Deadly Companions, The",Horror,7/20/1992,Isabelita Flukes,$73320761.01,7.1,111,Voomm,Operative optimal attitude
